NEWJOBNUM,DATEIN,COMP,REQ DATE,DATEOUT,CUSTOMER,STARTTIME2,PERMIT,ENDTIME2,LOCATION,FEET,STREET,DAYS,SIDES,SAT,METERS,SUN,CATEGORY,COMMENTS
250833,5/7/2013,FALSE,5/26/2013,5/8/2013,SFMTA Temporary Sign Program,9:30:00 AM,,6:00:00 PM,1105 - 1124,10,Battery,2,B,FALSE,10,FALSE,SPECIAL EVENTS,event
250622,6/8/2013,FALSE,5/22/2013,6/8/2013,SFMTA Temporary Sign Program,1:00:00 PM,,10:00:00 PM,1833,1,Page,1,,TRUE,1,FALSE,SPECIAL EVENTS,event
250954,5/10/2013,FALSE,5/10/2013,5/10/2013,PG&E,8:00:00 AM,,4:00:00 PM,1970-1982,100,Fulton,1,E,FALSE,,FALSE,UTILITYS,TN 2305723
245816,5/19/2013,FALSE,5/5/2013,5/19/2013,SFMTA Temporary Sign Program,1:00:00 PM,,4:00:00 PM,5717,9,California,1,,FALSE,9,TRUE,SPECIAL EVENTS,event
251108,5/6/2013,FALSE,5/4/2013,5/31/2013,Darcy & Hardy,7:30:00 AM,13EXC-1612,5:00:00 PM,581-850,1300,Church,20,B,FALSE,,FALSE,CITY CONTRACT,SR 2307428
251137,5/4/2013,FALSE,5/3/2013,5/4/2013,Film Companies,1:00:00 PM,13sf094,7:00:00 PM,636 / 638,40,Green,1,,TRUE,,FALSE,FILMS,
251136,5/4/2013,FALSE,5/3/2013,5/4/2013,Film Companies,7:00:00 AM,13sf094,2:00:00 PM,1118 - 1128,60,Howard,1,,TRUE,,FALSE,FILMS,
251101,5/6/2013,FALSE,5/2/2013,6/6/2013,PG&E,7:00:00 AM,,5:00:00 PM,1000-1050,100,McAllister,24,E,FALSE,,FALSE,UTILITYS,TN 2316597
251152,5/12/2013,FALSE,5/2/2013,5/12/2013,SFMTA Temporary Sign Program,8:00:00 AM,,12:00:00 PM,2889,2,24th St,1,,FALSE,2,TRUE,SPECIAL EVENTS,move
251128,5/8/2013,FALSE,5/2/2013,5/8/2013,SFMTA Temporary Sign Program,6:00:00 PM,,9:30:00 PM,125 - 127 / 141 -143,4,3rd St,1,,FALSE,4,FALSE,SPECIAL EVENTS,event
251115,5/4/2013,FALSE,5/2/2013,5/4/2013,SFMTA Temporary Sign Program,8:00:00 AM,,5:00:00 PM,153 - 159,2,Alpine Terrace,1,,TRUE,2,FALSE,SPECIAL EVENTS,move
251144,5/10/2013,FALSE,5/2/2013,5/10/2013,SFMTA Temporary Sign Program,8:30:00 AM,,10:30:00 AM,619 - 635,2,Bosworth,1,,FALSE,2,FALSE,SPECIAL EVENTS,move
251147,5/10/2013,FALSE,5/2/2013,5/10/2013,SFMTA Temporary Sign Program,11:00:00 AM,,5:00:00 PM,1998,2,Broadway,1,,FALSE,2,FALSE,SPECIAL EVENTS,move
251119,5/6/2013,FALSE,5/2/2013,5/6/2013,SFMTA Temporary Sign Program,7:00:00 AM,,6:00:00 PM,900,3,Bush,1,,FALSE,3,FALSE,SPECIAL EVENTS,move
251110,5/4/2013,FALSE,5/2/2013,5/4/2013,SFMTA Temporary Sign Program,7:00:00 AM,,7:00:00 PM,2663,3,California,1,,TRUE,3,FALSE,SPECIAL EVENTS,move
251123,5/7/2013,FALSE,5/2/2013,5/7/2013,SFMTA Temporary Sign Program,8:00:00 AM,,12:00:00 PM,2226 - 2240,3,California,1,,FALSE,3,FALSE,SPECIAL EVENTS,event
251138,5/9/2013,FALSE,5/2/2013,5/9/2013,SFMTA Temporary Sign Program,2:00:00 PM,,10:00:00 PM,1840,2,Fillmore,1,,FALSE,2,FALSE,SPECIAL EVENTS,move
251112,5/4/2013,FALSE,5/2/2013,5/4/2013,SFMTA Temporary Sign Program,8:00:00 AM,,8:00:00 PM,507,1,Folsom,1,,TRUE,1,FALSE,SPECIAL EVENTS,move
251117,5/6/2013,FALSE,5/2/2013,5/6/2013,SFMTA Temporary Sign Program,7:00:00 AM,,6:00:00 PM,703 - 705 / 713,3,Front,1,,FALSE,3,FALSE,SPECIAL EVENTS,move
251145,5/10/2013,FALSE,5/2/2013,5/10/2013,SFMTA Temporary Sign Program,7:00:00 AM,,7:00:00 PM,2448,2,Greenwich,1,,FALSE,2,FALSE,SPECIAL EVENTS,move
251148,5/10/2013,FALSE,5/2/2013,5/10/2013,SFMTA Temporary Sign Program,7:00:00 AM,,7:00:00 PM,2152,3,Grove,1,,FALSE,3,FALSE,SPECIAL EVENTS,move
251122,5/6/2013,FALSE,5/2/2013,5/6/2013,SFMTA Temporary Sign Program,8:00:00 AM,,2:00:00 PM,1257 - 1259,2,Hampshire,1,,FALSE,2,FALSE,SPECIAL EVENTS,move
251151,5/11/2013,FALSE,5/2/2013,5/12/2013,SFMTA Temporary Sign Program,7:00:00 PM,,1:00:00 AM,511,4,Harrison,2,,TRUE,4,TRUE,SPECIAL EVENTS,event
251109,5/4/2013,FALSE,5/2/2013,5/4/2013,SFMTA Temporary Sign Program,8:00:00 AM,,4:00:00 PM,1 - 7,6,Hawthorne,1,,TRUE,6,FALSE,SPECIAL EVENTS,move
251146,5/10/2013,FALSE,5/2/2013,5/10/2013,SFMTA Temporary Sign Program,7:00:00 AM,,7:00:00 PM,143 - 149,4,Hawthorne,1,,FALSE,4,FALSE,SPECIAL EVENTS,move
251118,5/6/2013,FALSE,5/2/2013,5/6/2013,SFMTA Temporary Sign Program,12:00:00 PM,,6:00:00 PM,2061 - 2063,2,Hayes,1,,FALSE,2,FALSE,SPECIAL EVENTS,move
251113,5/4/2013,FALSE,5/2/2013,5/4/2013,SFMTA Temporary Sign Program,8:00:00 AM,,8:00:00 PM,2805 - 2813,5,Hyde,1,,TRUE,5,FALSE,SPECIAL EVENTS,event
251156,5/15/2013,FALSE,5/2/2013,5/16/2013,SFMTA Temporary Sign Program,8:00:00 AM,,4:00:00 PM,1870 - 1890,4,Jackson,2,,FALSE,4,FALSE,SPECIAL EVENTS,move
251129,5/8/2013,FALSE,5/2/2013,5/8/2013,SFMTA Temporary Sign Program,8:00:00 AM,,4:00:00 PM,1101,2,Jones,1,,FALSE,2,FALSE,SPECIAL EVENTS,move
251155,5/15/2013,FALSE,5/2/2013,5/17/2013,SFMTA Temporary Sign Program,8:00:00 AM,,4:00:00 PM,1101,2,Jones,3,,FALSE,2,FALSE,SPECIAL EVENTS,move
251158,5/17/2013,FALSE,5/2/2013,5/17/2013,SFMTA Temporary Sign Program,8:00:00 AM,,5:00:00 PM,1903,2,Larkin,1,,FALSE,2,FALSE,SPECIAL EVENTS,move
251116,5/6/2013,FALSE,5/2/2013,5/6/2013,SFMTA Temporary Sign Program,7:00:00 AM,,5:00:00 PM,1330 - 1336,2,Leavenworth,1,,FALSE,2,FALSE,SPECIAL EVENTS,move
251130,5/8/2013,FALSE,5/2/2013,5/8/2013,SFMTA Temporary Sign Program,10:00:00 AM,,7:00:00 PM,1363,2,Pacific,1,,FALSE,2,FALSE,SPECIAL EVENTS,move
251126,5/7/2013,FALSE,5/2/2013,5/7/2013,SFMTA Temporary Sign Program,8:00:00 AM,,5:00:00 PM,366 - 388,3,Townsend,1,,FALSE,3,FALSE,SPECIAL EVENTS,move
251153,5/13/2013,FALSE,5/2/2013,5/13/2013,SFMTA Temporary Sign Program,8:00:00 AM,,5:00:00 PM,560,2,Union,1,,FALSE,2,FALSE,SPECIAL EVENTS,move
251154,5/13/2013,FALSE,5/2/2013,5/13/2013,SFMTA Temporary Sign Program,10:00:00 AM,,4:00:00 PM,750,2,Union,1,,FALSE,2,FALSE,SPECIAL EVENTS,move
251125,5/7/2013,FALSE,5/2/2013,5/7/2013,SFMTA Temporary Sign Program,11:30:00 AM,,2:30:00 PM,174,3,Valencia,1,,FALSE,3,FALSE,SPECIAL EVENTS,event
251127,5/7/2013,FALSE,5/2/2013,5/8/2013,SFMTA Temporary Sign Program,8:00:00 AM,,4:00:00 PM,1257 - 1275,4,Vallejo,2,,FALSE,4,FALSE,SPECIAL EVENTS,move
251131,5/9/2013,FALSE,5/2/2013,5/9/2013,SFMTA Temporary Sign Program,4:30:00 PM,,10:00:00 PM,104 / 116 - 118,3,Vallejo,1,,FALSE,3,FALSE,SPECIAL EVENTS,event
251139,5/9/2013,FALSE,5/2/2013,5/9/2013,SFMTA Temporary Sign Program,7:00:00 AM,,3:00:00 PM,3089,2,Van Ness,1,,FALSE,2,FALSE,SPECIAL EVENTS,move
251099,5/6/2013,FALSE,5/2/2013,5/17/2013,Annuzi Concrete,7:30:00 AM,12EXC-4898,4:30:00 PM,1400-1499,1200,11th Ave,10,B,FALSE,,FALSE,CITY CONTRACT,TN 2315445
251100,5/6/2013,FALSE,5/2/2013,6/5/2013,M Squared Construction,7:00:00 AM,12EXC-4798,6:00:00 PM,890-900,50,24th Ave,31,B,TRUE,,TRUE,CITY CONTRACT,TN 2315485
251132,5/8/2013,FALSE,5/2/2013,6/8/2013,Ruiz Construction,7:00:00 AM,13EXC-0889,5:00:00 PM,650-751,600,Hyde,28,B,TRUE,,FALSE,CITY CONTRACT,TN 2315048
251134,5/8/2013,FALSE,5/2/2013,6/8/2013,Ruiz Construction,7:00:00 AM,13EXC-0889,5:00:00 PM,650-751,600,Jones,28,B,TRUE,,FALSE,CITY CONTRACT,TN 2315091
251133,5/8/2013,FALSE,5/2/2013,6/8/2013,Ruiz Construction,7:00:00 AM,13EXC-0889,5:00:00 PM,750-851,600,Leavenworth,28,B,TRUE,,FALSE,CITY CONTRACT,TN 2315079
251135,5/8/2013,FALSE,5/2/2013,6/8/2013,Ruiz Construction,7:00:00 AM,13EXC-1133,5:00:00 PM,450-551,600,Mason,28,B,TRUE,,FALSE,CITY CONTRACT,TN 2315102
251124,5/8/2013,FALSE,5/2/2013,6/8/2013,Ruiz Construction,7:00:00 AM,13EXC-1133,5:00:00 PM,650-951,3600,Post,28,B,TRUE,,FALSE,CITY CONTRACT,TN 2315027
251166,5/7/2013,FALSE,5/2/2013,5/17/2013,D.P.W,7:00:00 AM,,4:00:00 PM,00-99,1104,Arbor,19,B,FALSE,,FALSE,CITY AGENCYS,TN 2315273
251157,5/7/2013,FALSE,5/2/2013,5/17/2013,D.P.W,7:00:00 AM,,4:00:00 PM,00-99,460,Mirando Wy,9,B,FALSE,,FALSE,CITY AGENCYS,TN 2315264
251094,5/6/2013,FALSE,5/1/2013,5/10/2013,San Francisco Water Dept,8:00:00 AM,,4:00:00 PM,2200,20,23rd St,10,E,FALSE,,FALSE,UTILITYS,TN 2311775
251098,5/16/2013,FALSE,5/1/2013,5/17/2013,PG&E,7:00:00 AM,,3:00:00 PM,24-34,200,7th St,2,B,FALSE,,FALSE,UTILITYS,TN 2312664
251093,5/6/2013,FALSE,5/1/2013,5/13/2013,San Francisco Water Dept,8:00:00 AM,,4:00:00 PM,183-185,20,Precita,6,O,FALSE,,FALSE,UTILITYS,TN 2310612
251062,5/5/2013,FALSE,5/1/2013,5/5/2013,SFMTA Temporary Sign Program,8:00:00 AM,,5:00:00 PM,1762,2,11th Ave,1,,FALSE,2,TRUE,SPECIAL EVENTS,event
251054,5/3/2013,FALSE,5/1/2013,5/3/2013,SFMTA Temporary Sign Program,8:00:00 AM,,5:00:00 PM,2875,4,21st St,1,,FALSE,4,FALSE,SPECIAL EVENTS,move
251050,5/3/2013,FALSE,5/1/2013,5/3/2013,SFMTA Temporary Sign Program,10:00:00 AM,,10:00:00 PM,303 - 313,4,Battery,1,,FALSE,4,FALSE,SPECIAL EVENTS,event
251149,5/11/2013,FALSE,5/1/2013,5/11/2013,SFMTA Temporary Sign Program,2:00:00 PM,,10:00:00 PM,765,2,Beach,1,,TRUE,2,FALSE,SPECIAL EVENTS,event
251060,5/4/2013,FALSE,5/1/2013,5/4/2013,SFMTA Temporary Sign Program,2:00:00 PM,,11:59:00 PM,2106/2120/2190/2138,4,Broadway,1,,TRUE,4,FALSE,SPECIAL EVENTS,event
251075,5/8/2013,FALSE,5/1/2013,5/8/2013,SFMTA Temporary Sign Program,10:00:00 AM,,4:00:00 PM,2601,2,Buchanan,1,,FALSE,2,FALSE,SPECIAL EVENTS,move
